epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.3213,1.21435,4.13699,1.39919,0.39967,0.23233,0.26382,0.13399,1.5408,3.23159,1.73241,0.000472553,0.000472553,0.000472553
2,84.8691,1.27854,3.02852,1.3716,0.35773,0.29552,0.25236,0.12977,1.68403,2.82122,1.69311,0.000930098,0.000930098,0.000930098
3,124.749,1.30472,2.35326,1.3936,0.35276,0.33155,0.29824,0.18102,1.58218,2.4637,1.59988,0.00136878,0.00136878,0.00136878
4,165.622,1.29148,1.89271,1.38082,0.51237,0.56978,0.53313,0.30807,1.44869,1.93818,1.4763,0.00134412,0.00134412,0.00134412
5,206.804,1.2457,1.59425,1.32985,0.61194,0.62099,0.65654,0.4324,1.24194,1.50304,1.29641,0.00131582,0.00131582,0.00131582
6,247.061,1.17544,1.35494,1.28402,0.6851,0.6575,0.68787,0.46181,1.2467,1.4464,1.31294,0.00128753,0.00128753,0.00128753
7,288.011,1.15021,1.23108,1.2605,0.76414,0.70247,0.76781,0.50858,1.23091,1.29446,1.28345,0.00125923,0.00125923,0.00125923
8,329.269,1.11539,1.13766,1.2432,0.79589,0.72022,0.7775,0.50983,1.19666,1.18347,1.24094,0.00123094,0.00123094,0.00123094
9,369.913,1.06259,1.09871,1.20247,0.8186,0.74674,0.79009,0.55518,1.12972,1.14865,1.21928,0.00120265,0.00120265,0.00120265
10,411.028,1.04061,0.99068,1.18671,0.8408,0.74984,0.83824,0.57972,1.15033,1.09703,1.22604,0.00117435,0.00117435,0.00117435
11,451.76,1.00743,0.96155,1.17424,0.82968,0.79904,0.84898,0.6051,1.09218,1.00624,1.2156,0.00114606,0.00114606,0.00114606
12,492.3,0.99581,0.88973,1.16548,0.8503,0.76931,0.8523,0.62245,1.03937,0.98723,1.17769,0.00111776,0.00111776,0.00111776
13,532.815,0.96947,0.82634,1.14536,0.82044,0.83089,0.86033,0.62647,1.0692,0.93806,1.1939,0.00108947,0.00108947,0.00108947
14,574.196,0.96835,0.80961,1.14102,0.87522,0.80517,0.86618,0.63288,1.00516,0.94501,1.14364,0.00106118,0.00106118,0.00106118
15,615.348,0.92252,0.79087,1.11702,0.84745,0.78138,0.85055,0.59877,1.07764,0.94847,1.16418,0.00103288,0.00103288,0.00103288
16,656.222,0.94022,0.74986,1.11689,0.87742,0.80707,0.88819,0.64038,1.0638,0.85413,1.15651,0.00100459,0.00100459,0.00100459
17,697.058,0.89554,0.72122,1.10361,0.86439,0.87642,0.89544,0.66023,0.97742,0.81338,1.11116,0.000976293,0.000976293,0.000976293
18,737.044,0.88124,0.7053,1.0892,0.8696,0.84738,0.8787,0.63995,0.9958,0.83545,1.12242,0.000947999,0.000947999,0.000947999
19,778.104,0.85828,0.67099,1.07975,0.88601,0.78065,0.86842,0.6312,1.04673,0.89207,1.15735,0.000919704,0.000919704,0.000919704
20,819.085,0.85322,0.64729,1.06484,0.86104,0.85577,0.89597,0.66061,0.96652,0.84212,1.09438,0.00089141,0.00089141,0.00089141
21,860.315,0.83357,0.63804,1.05541,0.82674,0.82885,0.87492,0.64405,1.00509,0.8454,1.13581,0.000863116,0.000863116,0.000863116
22,899.849,0.82766,0.60814,1.04917,0.93946,0.8392,0.91978,0.67507,1.00146,0.765,1.11488,0.000834822,0.000834822,0.000834822
23,940.775,0.8173,0.60153,1.04735,0.93374,0.89231,0.92544,0.71257,0.93078,0.69274,1.07631,0.000806528,0.000806528,0.000806528
24,982.044,0.79737,0.571,1.04075,0.89863,0.88094,0.90008,0.66746,0.9424,0.75623,1.09532,0.000778233,0.000778233,0.000778233
25,1023.02,0.78177,0.55721,1.02946,0.91276,0.86947,0.90894,0.68962,0.94638,0.71939,1.10041,0.000749939,0.000749939,0.000749939
26,1063.68,0.78161,0.54902,1.02268,0.91178,0.87197,0.91952,0.69867,0.93613,0.69661,1.09948,0.000721645,0.000721645,0.000721645
27,1103.41,0.75556,0.5274,1.01235,0.92884,0.87993,0.92524,0.70703,0.90873,0.65741,1.05725,0.000693351,0.000693351,0.000693351
28,1143.49,0.74969,0.50835,1.00518,0.89519,0.87436,0.91491,0.70797,0.90281,0.71112,1.07941,0.000665057,0.000665057,0.000665057
29,1184.16,0.72198,0.47703,0.99654,0.94452,0.88568,0.92719,0.7116,0.91359,0.64333,1.07884,0.000636762,0.000636762,0.000636762
30,1224.85,0.72138,0.48543,0.99308,0.92012,0.87448,0.92681,0.70685,0.93235,0.68072,1.08782,0.000608468,0.000608468,0.000608468
31,1265.06,0.69863,0.4925,0.983,0.90655,0.89313,0.9221,0.70756,0.9243,0.69339,1.08458,0.000580174,0.000580174,0.000580174
32,1305.34,0.68871,0.47313,0.97328,0.92571,0.87045,0.92311,0.70797,0.90972,0.68976,1.07186,0.00055188,0.00055188,0.00055188
33,1345.69,0.68672,0.46082,0.97084,0.94296,0.88095,0.9266,0.72595,0.88172,0.65601,1.06317,0.000523586,0.000523586,0.000523586
34,1386.92,0.66867,0.43605,0.96801,0.95335,0.89673,0.93912,0.71754,0.90784,0.61055,1.07169,0.000495291,0.000495291,0.000495291
35,1428.27,0.65702,0.42749,0.95424,0.8933,0.91574,0.93267,0.72811,0.87788,0.64013,1.04509,0.000466997,0.000466997,0.000466997
